date,coal_price_usd_per_mt,iron_ore_price_usd_per_dmt,source,source_date
1960-01-01,,11.4,World Bank Commodity Markets (Pink Sheet),"September 02, 2026"
1960-02-01,,11.4,World Bank Commodity Markets (Pink Sheet),"September 02, 2026"
1960-03-01,,11.4,World Bank Commodity Markets (Pink Sheet),"September 02, 2026"
1960-04-01,,11.4,World Bank Commodity Markets (Pink Sheet),"September 02, 2026"
1960-05-01,,11.4,World Bank Commodity Markets (Pink Sheet),"September 02, 2026"
1960-06-01,,11.4,World Bank Commodity Markets (Pink Sheet),"September 02, 2026"
1960-07-01,,11.4,World Bank Commodity Markets (Pink Sheet),"September 02, 2026"
1960-08-01,,11.4,World Bank Commodity Markets (Pink Sheet),"September 02, 2026"
1960-09-01,,11.4,World Bank Commodity Markets (Pink Sheet),"September 02, 2026"
1960-10-01,,11.4,World Bank Commodity Markets (Pink Sheet),"September 02, 2026"
1960-11-01,,11.4,World Bank Commodity Markets (Pink Sheet),"September 02, 2026"
1960-12-01,,11.4,World Bank Commodity Markets (Pink Sheet),"September 02, 2026"
1961-01-01,,11.0,World Bank Commodity Markets (Pink Sheet),"September 02, 2026"
1961-02-01,,11.0,World Bank Commodity Markets (Pink Sheet),"September 02, 2026"
1961-03-01,,11.0,World Bank Commodity Markets (Pink Sheet),"September 02, 2026"
1961-04-01,,11.0,World Bank Commodity Markets (Pink Sheet),"September 02, 2026"
1961-05-01,,11.0,World Bank Commodity Markets (Pink Sheet),"September 02, 2026"
1961-06-01,,11.0,World Bank Commodity Markets (Pink Sheet),"September 02, 2026"
1961-07-01,,11.0,World Bank Commodity Markets (Pink Sheet),"September 02, 2026"
1961-08-01,,11.0,World Bank Commodity Markets (Pink Sheet),"September 02, 2026"
1961-09-01,,11.0,World Bank Commodity Markets (Pink Sheet),"September 02, 2026"
1961-10-01,,11.0,World Bank Commodity Markets (Pink Sheet),"September 02, 2026"
1961-11-01,,11.0,World Bank Commodity Markets (Pink Sheet),"September 02, 2026"
1961-12-01,,11.0,World Bank Commodity Markets (Pink Sheet),"September 02, 2026"
1962-01-01,,11.0,World Bank Commodity Markets (Pink Sheet),"September 02, 2026"
